WP5Country,Happiness,GDP,SocialSupport,LifeExp,Generosity,Perceptionsofcorruption,ConfidenceNation,DemocraticQuality
Afghanistan,3.57210040092468,Low,Poor,Less,.07518570125103,.823204100131989,Average,-1.89603304862976
Albania,4.5506477355957,Moderate,Fair,More,-.12743279337883,.862904965877533,Average,.046827606856823
Angola,3.93710684776306,Moderate,Poor,Less,-.100076638162136,.8163754940033,Average,-.752881705760956
Armenia,4.27719116210938,Moderate,Poor,More,-.17931233346462,.899796783924103,Weak,-.266003161668777
Australia,7.36416912078857,High,Excellent,More,.253665924072266,.43153902888298,Average,1.22752869129181
Austria,7.49880266189575,High,Excellent,More,.159644648432732,.678936898708344,Average,1.40320026874542
Azerbaijan,5.48117828369141,Moderate,Fair,Less,-.1917978823185,.698819577693939,Strong,-.881423652172089
Bangladesh,4.66016101837158,Low,Poor,Less,-.006244593299926,.742774188518524,Strong,-1.02593541145325
Belarus,5.87646627426147,Moderate,Excellent,More,-.186140581965446,.653039157390594,Average,-.790565550327301
Belgium,7.10366106033325,High,Excellent,More,.007704371120781,.573664307594299,Average,1.14551198482513
Benin,3.47941279411316,Low,Poor,Less,-.053242377936841,.855955541133881,Average,.188408195972443
Bhutan,5.569091796875,Moderate,Fair,Less,.36108663678169,.802428126335144,Strong,.30852109193802
Bolivia,5.76742887496948,Moderate,Fair,Less,-.060415498912335,.81185656785965,Average,-.225294664502144
BosniaandHerzegovina,5.12366437911987,Moderate,Fair,More,.04601838439703,.969836235046387,Weak,-.267965227365494
Botswana,4.12829875946045,Moderate,Good,Less,-.160684838891029,.748847782611847,Strong,.776189625263214
Brazil,7.14028263092041,Moderate,Excellent,More,-.10685733705759,.706954181194305,Average,.042371541261673
Bulgaria,3.99302053451538,Moderate,Fair,More,-.196452260017395,.962047100067139,Weak,.232785880565643
BurkinaFaso,3.32594966888428,Low,Poor,Less,.001466575777159,.76472145318985,Strong,-.543902039527893
Cameroon,4.27103805541992,Low,Fair,Less,-.020075222477317,.867257416248322,Strong,-.786341786384583
Canada,7.59379386901855,High,Excellent,More,.301297724246979,.40623614192009,Average,1.24414908885956
Chad,3.5076630115509,Low,Poor,Less,-.052856501191855,.881972372531891,Weak,-1.24366366863251
Chile,6.74015378952026,Moderate,Good,More,.07237994670868,.741154909133911,Weak,.733966588973999
Colombia,6.60655069351196,Moderate,Good,More,-.077048502862454,.898202121257782,Weak,-.700267016887665
CongoBrazzaville,3.95495057106018,Moderate,Poor,Less,-.11785988509655,.75172370672226,Average,-.80304658412933
CongoKinshasa,4.49747705459595,Low,Fair,Less,.046436429023743,.912991523742676,Weak,-1.85035741329193
CostaRica,7.15800046920776,Moderate,Good,More,.019320379942656,.812863111495972,Weak,.856241464614868
Croatia,5.88546276092529,Moderate,Poor,More,-.208679884672165,.936059832572937,Weak,.542883515357971
Cyprus,5.43895244598389,High,Poor,More,.090306982398034,.867310464382172,Weak,.757939279079437
CzechRepublic,6.69765567779541,High,Good,More,-.1621919721365,.915898859500885,Weak,1.00495874881744
Denmark,7.58860683441162,High,Excellent,More,.206068933010101,.170042172074318,Average,1.31573927402496
DominicanRepublic,5.01551532745361,Moderate,Good,Less,.017777923494578,.751750826835632,Average,.13322472572327
Ecuador,6.01920604705811,Moderate,Fair,More,-.194883212447166,.645848631858826,Strong,-.234339594841003
Egypt,3.55852031707764,Moderate,Poor,Less,-.151082828640938,.913228452205658,Weak,-1.34563684463501
ElSalvador,6.32506322860718,Moderate,Fair,More,-.158848777413368,.771750867366791,Average,-.063172265887261
Estonia,5.36744594573975,High,Good,More,-.20902022719383,.72635638713837,Weak,.911051869392395
Ethiopia,4.44482707977295,Low,Poor,Less,.006050921045244,.750478267669678,Strong,-1.33527815341949
Finland,7.44463586807251,High,Excellent,More,.028949966654182,.305770456790924,Average,1.47098338603973
France,6.66712141036987,High,Excellent,More,-.135235905647278,.699069380760193,Average,.820969820022583
Gabon,3.80028700828552,Moderate,Poor,Less,-.173434630036354,.780438899993896,Average,-.258401155471802
Georgia,4.34892082214355,Moderate,Poor,More,-.239019215106964,.348713606595993,Strong,-.16719114780426
Germany,6.96512508392334,High,Excellent,More,.014207869768143,.565794229507446,Average,1.16794860363007
Ghana,4.96505308151245,Low,Poor,Less,-.056277189403773,.880178451538086,Average,.220631137490273
Greece,4.72025108337402,Moderate,Poor,More,-.279308795928955,.941309869289398,Weak,.241548538208008
Guatemala,5.98460149765015,Moderate,Fair,Less,.043558225035668,.81676983833313,Average,-.543908715248108
Guinea,3.90179300308228,Low,Poor,Less,.133078426122665,.815481603145599,Average,-1.14148807525635
Haiti,4.62196207046509,Low,Poor,Less,.29587978124619,.668975710868835,Average,-.72148472070694
Honduras,4.7133584022522,Moderate,Fair,Less,-.025670750066638,.8676997423172,Weak,-.497785449028015
Hungary,4.91446685791016,Moderate,Good,More,-.122941486537457,.91153317689896,Weak,.755799651145935
Iceland,7.50139427185059,High,Excellent,More,.297627419233322,.712598741054535,Average,1.35828232765198
India,4.42778873443604,Moderate,Poor,Less,.073610715568066,.832356333732605,Average,-.385419487953186
Indonesia,5.29223775863647,Moderate,Fair,Less,.36314925551414,.972668588161469,Strong,-.247295826673508
Ireland,6.760085105896,High,Excellent,More,.319126099348068,.558394193649292,Weak,1.09463906288147
Israel,7.32056331634521,High,Excellent,More,.142283156514168,.84853786230087,Average,-.229287594556808
Italy,6.00937366485596,High,Excellent,More,-.109666280448437,.942639291286469,Weak,.717109978199005
IvoryCoast,3.73936557769775,Low,Poor,Less,-.012609972618521,.691117584705353,Average,-.897582828998566
Jamaica,5.70888662338257,Moderate,Good,More,-.023152519017458,.930722296237946,Weak,.335290282964706
Japan,5.95936155319214,High,Excellent,More,-.16093310713768,.65049821138382,Average,1.04643678665161
Kazakhstan,5.83548307418823,Moderate,Good,Less,-.247230619192123,.819989383220673,Strong,-.803235650062561
Kenya,3.79538321495056,Low,Fair,Less,.229758709669113,.861003398895264,Strong,-.697419583797455
Kosovo,6.12575817108154,Moderate,Poor,Less,.108229711651802,.935094594955444,Average,-.640920281410217
Kyrgyzstan,5.40242671966553,Low,Good,Less,-.059961821883917,.899560451507568,Average,-.739483833312988
Latvia,5.06977033615112,Moderate,Fair,More,-.079324454069138,.836553633213043,Weak,.663091838359833
Lithuania,5.59568929672241,Moderate,Excellent,More,-.244425252079964,.936335504055023,Average,.926773011684418
Luxembourg,7.13080930709839,High,Excellent,More,-.069239355623723,.300811767578125,Strong,1.4706666469574
Macedonia,5.18619060516357,Moderate,Fair,More,.023115031421185,.860541105270386,Average,-.204417213797569
Madagascar,3.81560707092285,Low,Poor,Less,-.007449828553945,.867707669734955,Average,-.744351446628571
Malawi,4.03508424758911,Low,Poor,Less,.076996862888337,.856666088104248,Strong,-.19943168759346
Malaysia,5.7701997756958,Moderate,Fair,More,.244747951626778,.755383491516113,Strong,-.135008007287979
Mali,3.67627716064453,Low,Fair,Less,-.056799959391356,.754807353019714,Strong,-1.00496208667755
Mauritania,4.19901514053345,Low,Poor,Less,-.060802169144154,.675553739070892,Average,-.980242133140564
Mexico,7.44254636764526,Moderate,Fair,More,-.169543743133545,.614747047424316,Average,-.324774086475372
Moldova,5.75605916976929,Moderate,Fair,Less,-.01949922554195,.94063240289688,Weak,-.062371142208577
Mongolia,4.91292810440063,Moderate,Excellent,Less,.121606156229973,.927854478359222,Average,.279379099607468
Montenegro,5.07434177398682,Moderate,Poor,More,-.176147788763046,.693372130393982,Average,.322948843240738
Morocco,5.14216041564941,Moderate,Poor,Less,-.221898853778839,.771112203598022,Average,-.60554426908493
Nepal,4.604576587677,Low,Poor,Less,.164696782827377,.877340495586395,Average,-.840459585189819
Netherlands,7.40655040740967,High,Excellent,More,.291678547859192,.50452995300293,Average,1.35036993026733
NewZealand,7.28015184402466,High,Excellent,More,.227094605565071,.312235802412033,Average,1.53810262680054
Nicaragua,5.7722749710083,Moderate,Good,More,.043731845915318,.636246740818024,Strong,-.355478525161743
Niger,3.71632981300354,Low,Poor,Less,-.055214799940587,.710963428020477,Strong,-.83645224571228
Nigeria,4.81786870956421,Moderate,Poor,Less,.041885256767273,.905309319496155,Weak,-1.41193664073944
Pakistan,5.13808250427246,Moderate,Poor,Less,.087083093822003,.79183524847031,Weak,-1.71366238594055
PalestinianTerritories,4.84402799606323,Moderate,Fair,Less,-.150321438908577,.77964574098587,Average,-1.31249523162842
Panama,6.86648035049438,Moderate,Good,More,.024976203218103,.814464628696442,Average,.13771566748619
Paraguay,5.93624067306519,Moderate,Excellent,Less,.057711228728295,.902550995349884,Average,-.414014011621475
Peru,5.78255748748779,Moderate,Fair,More,-.076089896261693,.869899272918701,Weak,-.365037888288498
Philippines,4.97692537307739,Moderate,Good,Less,.016195898875595,.756388545036316,Strong,-.53449559211731
Poland,5.74613189697266,Moderate,Excellent,More,-.146693661808968,.915677428245544,Weak,.966957926750183
Portugal,5.15768814086914,High,Good,More,-.1258370578289,.946257352828979,Weak,.885020792484283
Romania,5.08158445358276,Moderate,Fair,More,-.1325126439333,.951843559741974,Weak,.227641254663467
Russia,5.53717756271362,High,Good,Less,-.303974360227585,.933804512023926,Average,-.87456572055817
Senegal,3.64736700057983,Low,Fair,Less,-.035716552287341,.836612224578857,Strong,-.010620342567564
Serbia,5.10184049606323,Moderate,Fair,More,-.100771442055702,.908122003078461,Average,.103168711066246
SierraLeone,4.51429128646851,Low,Poor,Less,-.067947983741761,.855862677097321,Average,-.274590790271759
Singapore,6.53320693969727,High,Fair,More,.095177710056305,.242398053407669,Strong,.70285058021545
Slovakia,5.93652725219727,High,Excellent,More,-.065097555518151,.914539933204651,Weak,1.0178290605545
Slovenia,5.97488880157471,High,Excellent,More,.028984550386668,.917839586734772,Weak,.924460172653198
SouthAfrica,3.66072726249695,Moderate,Good,Less,-.087631799280644,.799543023109436,Average,.267528653144836
SouthKorea,5.9588098526001,High,Fair,More,-.060893565416337,.831863224506378,Average,.468764811754227
Spain,6.15002727508545,High,Excellent,More,-.112151451408863,.915822565555573,Weak,.499213844537735
SriLanka,4.36469411849976,Moderate,Fair,More,.261591166257858,.842013537883759,Strong,-.604828774929047
Sweden,7.43401050567627,High,Excellent,More,.145670637488365,.32448154687881,Average,1.4001042842865
Tanzania,3.85239481925964,Low,Fair,Less,.049382463097573,.859005868434906,Average,-.192016988992691
Thailand,6.23102474212646,Moderate,Excellent,More,.445884138345718,.92543005943298,Average,-.871476888656616
TrinidadTobago,6.16770696640015,High,Good,Less,.105557844042778,.947674036026001,Average,.272506356239319
Tunisia,5.24560499191284,Moderate,Poor,More,-.220935001969337,.886026918888092,Weak,-.52500182390213
Turkey,4.88817739486694,Moderate,Fair,More,-.225346818566322,.698064804077148,Average,-.731764733791351
Uganda,3.7095787525177,Low,Good,Less,.066846445202828,.82048082351685,Average,-.691679120063782
Ukraine,4.71080255508423,Moderate,Good,Less,-.197259038686752,.937324285507202,Weak,-.541971623897552
UnitedKingdom,6.91805505752563,High,Excellent,More,.336107164621353,.568043172359467,Average,.90223258733749
UnitedStates,7.24928522109985,High,Excellent,More,.257948040962219,.746894061565399,Weak,.855374395847321
Uruguay,6.44446468353271,Moderate,Excellent,More,-.056705567985774,.585632264614105,Average,.938363254070282
Venezuela,6.55279636383057,Moderate,Good,More,-.238347038626671,.837299704551697,Average,-1.00875461101532
Vietnam,5.02269887924194,Moderate,Fair,More,-.024637088179589,.771245837211609,Strong,-.558000564575195
Yemen,4.21767854690552,Low,Poor,Less,-.180674746632576,.88519650697708,Average,-1.85199499130249
Zambia,5.24399566650391,Low,Fair,Less,-.111644603312016,.732267558574677,Average,.137998983263969
Zimbabwe,4.69018793106079,Low,Fair,Less,-.062994807958603,.830936551094055,Average,-1.0313732624054
