record_id,Order,relStatus,relLength,satisfaction,gender,age,sexuality,LL_A,LL_B,LL_C,LL_D,LL_E,LL_Dominant,fr_companionship,fr_conflict,fr_closeness,fr_help,fr_total,avoid,anxious
4,1,2,1,81,1,19,1,8,7,6,8,1,A,3.00,1.25,3.00,3.20,2.78,3.50,1.33
5,1,2,3,93,1,20,2,6,8,6,8,2,B,3.00,1.00,4.20,3.80,3.26,2.11,4.89
7,1,1,2,80,2,24,3,7,10,1,6,6,B,4.25,2.50,4.20,4.40,3.74,2.50,3.72
8,1,1,2,100,2,21,1,5,7,7,4,7,B,4.25,1.50,4.60,5.00,3.78,1.72,2.78
11,1,1,2,100,2,19,1,3,11,1,8,7,B,5.00,1.50,4.80,5.00,4.17,1.11,3.17
13,1,1,1,92,2,20,1,4,11,2,6,7,B,4.00,2.75,4.60,4.20,3.91,2.00,2.78
16,1,1,2,100,1,18,1,6,9,3,3,9,E,3.67,1.75,4.80,4.80,3.86,1.83,3.28
17,1,2,1,60,1,19,1,8,8,4,8,2,B,2.00,4.00,1.80,2.20,2.48,4.50,2.56
19,1,2,1,79,1,20,1,10,5,9,2,4,A,4.00,2.50,3.40,4.60,3.61,3.11,2.61
21,1,1,1,87,2,18,1,9,10,1,7,3,B,4.75,2.25,5.00,4.80,4.17,2.72,3.94
24,1,2,3,65,2,18,1,0,0,0,0,0,,3.75,4.25,2.20,2.60,3.13,3.72,3.22
26,1,2,1,100,1,19,1,0,3,0,0,0,,3.75,2.75,4.40,4.40,3.96,2.28,1.56
27,1,1,2,98,2,19,1,6,10,0,7,7,B,4.50,3.50,5.00,5.00,4.50,1.56,2.50
28,1,1,1,100,2,20,1,5,9,2,7,7,B,4.00,1.50,5.00,4.80,4.00,1.17,1.44
31,1,2,1,95,2,19,1,7,11,4,5,3,B,4.00,1.50,4.00,4.00,3.43,2.72,4.33
33,1,2,2,61,2,20,1,6,11,4,9,0,B,4.25,2.25,4.40,4.60,3.96,2.00,3.56
35,1,2,1,98,2,18,1,6,6,5,10,3,D,3.25,2.25,4.40,4.75,3.86,1.72,1.94
36,1,2,3,80,2,18,1,7,8,3,11,1,D,3.75,4.75,4.20,4.00,4.17,1.67,3.83
47,1,2,3,100,1,20,1,6,10,3,10,1,B,4.25,2.75,4.20,5.00,4.14,1.33,1.61
57,1,2,1,100,2,19,1,2,10,5,9,4,B,4.00,2.50,4.40,5.00,3.87,1.61,1.56
62,1,1,3,100,2,21,1,4,10,5,3,7,,4.50,1.75,5.00,5.00,4.04,1.11,4.56
65,1,1,2,72,2,19,1,7,9,7,3,4,B,3.50,3.00,4.00,4.20,3.52,2.00,2.94
4,2,2,1,88,1,19,1,9,8,5,7,1,A,4.50,1.25,2.40,4.40,3.13,3.29,2.28
5,2,2,3,94,2,20,1,5,12,4,8,1,B,4.00,1.75,4.60,4.20,3.65,1.67,1.44
7,2,1,2,65,1,27,1,3,12,3,7,5,B,3.25,3.00,4.00,4.00,3.57,2.83,3.67
8,2,1,2,99,1,20,1,2,11,3,9,5,B,4.50,1.25,5.00,5.00,4.04,1.17,1.28
11,2,1,2,100,1,32,1,6,10,2,5,7,B,5.00,3.25,5.00,5.00,4.52,1.11,2.00
13,2,1,1,80,1,21,1,3,8,8,5,6,B,4.25,3.00,4.80,3.80,4.09,3.17,3.88
16,2,1,2,98,2,17,1,7,9,2,5,7,B,4.50,1.75,4.80,5.00,4.00,1.33,2.50
17,2,2,1,68,1,19,1,4,7,5,8,1,,2.00,1.50,2.20,3.20,2.30,3.56,2.83
19,2,2,1,85,1,22,1,4,7,5,5,9,E,3.50,3.25,3.80,3.40,3.52,4.33,5.39
21,2,1,1,81,1,21,1,6,9,4,4,7,B,4.00,2.00,5.00,5.00,4.13,2.56,3.50
24,2,2,3,,2,18,1,1,4,1,1,0,,4.25,4.75,2.80,3.20,3.52,3.22,3.00
26,2,2,1,99,2,18,1,8,9,3,8,2,B,5.00,4.00,5.00,5.00,4.65,1.00,4.00
27,2,1,2,99,2,19,1,4,10,3,7,6,B,4.75,3.50,4.80,5.00,4.48,1.67,3.28
28,2,1,1,100,1,22,1,8,8,1,4,9,E,4.25,2.00,4.80,4.60,3.91,3.17,3.29
31,2,2,1,100,2,20,1,8,10,4,5,3,B,4.75,1.50,4.80,4.80,4.09,1.94,2.11
33,2,2,2,100,2,20,1,5,8,5,7,5,B,5.00,2.50,4.80,5.00,4.26,1.06,4.39
35,2,2,1,100,2,19,1,5,6,7,9,3,D,3.25,2.75,3.20,4.20,3.39,1.94,2.00
36,2,2,3,72,2,17,1,6,10,5,8,1,B,4.25,4.50,4.80,5.00,4.70,1.39,2.61
47,2,2,3,75,2,22,1,6,10,4,8,2,B,3.00,1.75,4.20,4.80,3.70,1.33,3.44
48,2,1,1,95,1,19,3,7,9,4,5,5,B,4.75,1.75,5.00,5.00,4.17,2.67,2.17
57,2,2,1,96,2,19,1,6,8,4,9,3,D,4.00,1.50,4.80,4.40,3.87,1.72,2.61
62,2,1,3,97,1,21,1,7,8,1,2,12,E,4.50,1.25,5.00,4.40,3.91,2.39,4.72
65,2,1,1,67,1,23,1,5,8,5,7,5,B,3.25,3.00,3.80,3.40,3.39,3.50,4.78